,High-technology exports (% of manufactured exports),Export value index (2000 = 100),Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),Merchandise exports (current US$),Insurance and financial services (% of commercial service exports),Agricultural raw materials exports (% of merchandise exports),Net barter terms of trade index (2000 = 100), Exports( Billions of US $), % of GDP
2011,7.868564967,714.7484503,5.956084203,2.216761019,3.02905E+11,6.403614409,2.481955129,89.99256996,447.3839508,24.5404
2012,7.699917993,700.4084541,7.219487411,2.468132653,2.96828E+11,5.246770591,4.096087344,90.08283332,448.4005433,24.5344
2013,8.869966767,742.9281276,7.912599155,2.504192884,3.14848E+11,5.729494815,2.829939,92.44597165,472.1804274,25.4309
2014,9.21716626,761.4417416,8.622468799,2.98775949,3.22694E+11,5.060903788,2.170947842,93.82252823,468.3460376,22.968
2015,8.021878867,632.2694275,7.758854546,2.699079015,2.67951E+11,4.706800536,1.773604652,104.2283051,416.7878326,19.8132
2016,7.660357307,624.2249798,6.888281415,2.857856584,2.64542E+11,4.471146938,1.5373233,107.0105809,439.6427878,19.1582
2017,7.360672934,706.1027954,6.549802169,2.787142317,2.99241E+11,3.760465713,1.514842546,102.4693962,498.2585609,18.7918
2018,9.040355731,766.36084,6.309921459,2.820988094,3.24778E+11,3.921611321,1.569525754,96.32259344,538.6352015,19.9278
2019,10.22349924,765.3255776,7.262812324,2.99545039,3.2434E+11,3.431697049,1.146454126,98.02427941,529.2449363,18.691
2020,11.03225685,651.9737718,7.840930933,2.91445155,2.7641E+11,3.188489771,1.336846823,105.0955464,499.0950362,18.7089
2021,,,,,3.95408E+11,3.408413883,1.469019953,,660.4993904,20.8136
Unnamed: 0,,,,,,,,, Exports( Billions of US $), % of GDP
